movieId,title,genres,tag
1,Toy Story (1995),adventure animation children comedy fantasy,pixar fun
2,Jumanji (1995),adventure children fantasy,fantasy magic board game robin williams
3,Grumpier Old Men (1995),comedy romance,moldy old
4,Waiting to Exhale (1995),comedy drama romance,
5,Father of the Bride Part II (1995),comedy,pregnancy remake
6,Heat (1995),action crime thriller,
7,Sabrina (1995),comedy romance,remake
8,Tom and Huck (1995),adventure children,
9,Sudden Death (1995),action,
10,GoldenEye (1995),action adventure thriller,
11,"American President, The (1995)",comedy drama romance,politics president
12,Dracula: Dead and Loving It (1995),comedy horror,
13,Balto (1995),adventure animation children,
14,Nixon (1995),drama,politics president
15,Cutthroat Island (1995),action adventure romance,
16,Casino (1995),crime drama,mafia
17,Sense and Sensibility (1995),drama romance,jane austen
18,Four Rooms (1995),comedy,
19,Ace Ventura: When Nature Calls (1995),comedy,
20,Money Train (1995),action comedy crime drama thriller,
21,Get Shorty (1995),comedy crime thriller,hollywood
22,Copycat (1995),crime drama horror mystery thriller,serial killer
23,Assassins (1995),action crime thriller,
24,Powder (1995),drama sci fi,
25,Leaving Las Vegas (1995),drama romance,alcoholism
26,Othello (1995),drama,shakespeare
27,Now and Then (1995),children drama,
28,Persuasion (1995),drama romance,netflix queue jane austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",adventure drama fantasy mystery sci fi,kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),crime drama,
31,Dangerous Minds (1995),drama,high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),mystery sci fi thriller,time travel brad pitt bruce willis mindfuck post apocalyptic post apocalyptic remake twist ending
33,Babe (1995),children drama,animal movie pigs villain nonexistent needed good story
34,Dead Man Walking (1995),crime drama,death penalty nun
35,It Takes Two (1995),children comedy,twins
36,Clueless (1995),comedy romance,chick flick funny paul rudd quotable seen emma jane austen
37,"Cry, the Beloved Country (1995)",drama,netflix queue south africa
38,Richard III (1995),drama war,shakespeare
39,Dead Presidents (1995),action crime drama,
40,Restoration (1995),drama,england
41,Mortal Kombat (1995),action adventure fantasy,
42,To Die For (1995),comedy drama thriller,journalism
43,How to Make an American Quilt (1995),drama romance,wedding
44,Seven (a.k.a. Se7en) (1995),mystery thriller,mystery twist ending serial killer
45,Pocahontas (1995),animation children drama musical romance,
46,When Night Is Falling (1995),drama romance,
47,"Usual Suspects, The (1995)",crime mystery thriller,mindfuck suspense thriller tricky twist ending heist
48,Mighty Aphrodite (1995),comedy drama romance,adoption prostitution
49,Lamerica (1994),adventure drama,
50,"Big Green, The (1995)",children comedy,
51,Georgia (1995),drama,
52,Home for the Holidays (1995),drama,
53,"Postman, The (Postino, Il) (1994)",comedy drama romance,writing
54,"Indian in the Cupboard, The (1995)",adventure children fantasy,
55,Eye for an Eye (1996),drama thriller,
56,Mr. Holland's Opus (1995),drama,music
57,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),comedy crime,
58,Two if by Sea (1996),comedy romance,
59,Bio-Dome (1996),comedy,
60,Lawnmower Man 2: Beyond Cyberspace (1996),action sci fi thriller,
61,French Twist (Gazon maudit) (1995),comedy romance,
62,Friday (1995),comedy,
63,From Dusk Till Dawn (1996),action comedy horror thriller,
64,Fair Game (1995),action,
65,Kicking and Screaming (1995),comedy drama,
66,"Misérables, Les (1995)",drama war,
67,Bed of Roses (1996),drama romance,
68,Big Bully (1996),comedy drama,
69,Screamers (1995),action sci fi thriller,
70,Nico Icon (1995),documentary,
71,"Crossing Guard, The (1995)",action crime drama thriller,
72,"Juror, The (1996)",drama thriller,
73,"White Balloon, The (Badkonake sefid) (1995)",children drama,
74,Things to Do in Denver When You're Dead (1995),crime drama romance,
75,Antonia's Line (Antonia) (1995),comedy drama,
76,Once Upon a Time... When We Were Colored (1995),drama romance,
77,Angels and Insects (1995),drama romance,
78,White Squall (1996),action adventure drama,
79,Dunston Checks In (1996),children comedy,
80,Black Sheep (1996),comedy,
81,Nick of Time (1995),action thriller,
82,Mary Reilly (1996),drama horror thriller,jekyll hyde
83,Vampire in Brooklyn (1995),comedy horror romance,
84,Beautiful Girls (1996),comedy drama romance,
85,Broken Arrow (1996),action adventure thriller,
86,In the Bleak Midwinter (1995),comedy drama,theater
87,"Hate (Haine, La) (1995)",crime drama,
88,Heidi Fleiss: Hollywood Madam (1995),documentary,
89,City Hall (1996),drama thriller,
90,Bottle Rocket (1996),adventure comedy crime romance,crime off beat comedy quirky
91,Mr. Wrong (1996),comedy,
92,Unforgettable (1996),mystery sci fi thriller,
93,Happy Gilmore (1996),comedy,test tag golf adam sandler
94,"Bridges of Madison County, The (1995)",drama romance,
95,Nobody Loves Me (Keiner liebt mich) (1994),comedy drama,
96,Muppet Treasure Island (1996),adventure children comedy musical,muppets
97,Catwalk (1996),documentary,
98,Braveheart (1995),action drama war,beautiful scenery epic historical inspirational medieval mel gibson oscar best cinematography revenge sword fight scotland
99,Taxi Driver (1976),crime drama thriller,assassination
100,Rumble in the Bronx (Hont faan kui) (1995),action adventure comedy crime,
101,Before and After (1996),drama mystery,
102,Anne Frank Remembered (1995),documentary,holocaust
103,"Young Poisoner's Handbook, The (1995)",crime drama,
104,If Lucy Fell (1996),comedy romance,
105,"Steal Big, Steal Little (1995)",comedy,
106,"Boys of St. Vincent, The (1992)",drama,
107,Boomerang (1992),comedy romance,dating
108,Chungking Express (Chung Hing sam lam) (1994),drama mystery romance,
109,Flirting With Disaster (1996),comedy,
110,"NeverEnding Story III, The (1994)",adventure children fantasy,
111,Jupiter's Wife (1994),documentary,
112,Pie in the Sky (1996),comedy romance,
113,Jade (1995),thriller,
114,Down Periscope (1996),comedy,
115,Man of the Year (1995),documentary,
116,Up Close and Personal (1996),drama romance,journalism
117,"Birdcage, The (1996)",comedy,
118,"Brothers McMullen, The (1995)",comedy,
119,Bad Boys (1995),action comedy crime drama thriller,
120,"Amazing Panda Adventure, The (1995)",adventure children,
121,"Basketball Diaries, The (1995)",drama,addiction heroin leonardo dicaprio mark wahlberg
122,"Awfully Big Adventure, An (1995)",drama,
123,Amateur (1994),crime drama thriller,
